"N° d'inventaire","Libellé 1 (Ph.)","Libellé 2 (Ph.)","Date créat. (Ph.)","Date inventaire","Date ctrl inventaire","Code barre","Etab. (Ph.)","Site (Ph.)","Niveau (Ph.)","Sect. ana. (Ph.)","Date d'acquisition","Montant H.T.","Marque","Fournisseur","Compte (Ph.)","Rapproché","Valide (Ph.)","Sortie (Ph.)","Code budget","Demande engagement","N° de commande",""
"200012146884","SPECTROPHOTOMETRE UV L60000BB","","8/28/2007","10/9/2008","6/25/2014","14607","12204904","Bat 33","03","214416","8/28/2007","","","PERKIN ELMER","215410","Oui","Oui","Non","9000010577","P VILLENEUVE","B000702646",""
"200012146581","SPECTROPHOTOMETRE 6300 JENWAY","","9/1/2006","11/14/2008","3/24/2014","14650","12204","LAVALETTE","16241","657201","9/1/2006","2,132.83","JENWAY","LEGALLAIS","215410","Oui","Oui","Non","9000009667","GRABULOS","G700603566",""
"200012146850","SPECTROPHOTOMETRE UV 6305","","10/1/2007","2/9/2009","2/9/2009","14756","12204","LAVALETTE","16104","211301","10/1/2007","4,260.35",""," BAECKEROOT LABO","215410","Oui","Oui","Non","9000010803","N AMUSANT","B000703341",""
"200012146986","SPECTROPHOTOMETRE XDS ANALYSEUR","","12/14/2007","3/3/2009","5/22/2013","14817","12204901","","","214723","12/14/2007","55,425.83","","FOSS","215410","Oui","Oui","Non","9000011287","B BERTRAND","A000704987",""
"200012146373","SPECTRO DE MASSE KRONOS","","12/13/2006","6/5/2009","6/5/2009","14841","12204","LAVALETTE","16318","210029","12/13/2006","13,803.63","","ALPHA MOS","215410","Oui","Oui","Non","9000010028","M REYNES","E500602676",""
"200012147024","SPECTROPHOTOMETRE GENESYS","THAILANDE?","12/12/2007","4/16/2009","4/16/2009","14909","12204","LAVALETTE","07","217501","12/12/2007","4,136.26","GENESYS 10S","","215410","Oui","Oui","Non","9000011226","J BOYER","B000705064",""
"200012147680","SPECTROMETRE LABSPEC 5000 ","","12/11/2008","7/20/2009","7/20/2009","14923","12204","LAVALETTE","15209","210029","12/11/2008","44,000.00","LABSPEC ","","215410","Oui","Oui","Non","9000012420","","B000811028","ASD = portable "
"200012147306","SPECTROPHOTOMETRE","","2/20/2008","7/20/2009","7/20/2009","14924","12204","LAVALETTE","15901","210029","2/20/2008","17,380.00","SHIMADZU","","215410","Oui","Oui","Non","9000011468","D PALLET","B000705248",""
"200012147820","SPECTRORADIOMETRE ASD FIELDSPEC","","12/1/2008","9/9/2009","9/9/2009","15029","12204","LAVALETTE","MTD","216235","12/1/2008","60,000.00","","","215410","Oui","Oui","Non","9000012550","C LELONG","C000805390","portable "
"200012147335","SPECTROPHOTOMETRE NANODROP","","1/1/2008","9/9/2009","9/9/2009","15036","12204","","","214676","1/1/2008","12,925.80","","","215410","Oui","Oui","Non","9000011399","I CHANTAL","A000706279",""
"200012147982","SPECTRO FOCUS DSQII","","9/14/2009","9/14/2009","6/26/2014","15049","12204904","Bat 33","03","214416","9/10/2008","","","THERMO FISCHER","215410","Oui","Oui","Non","9000012095","P VILLENEUVE","B00808763",""
"200012147755","SPECTROPHOTOMETRE SHIMADZU","","9/23/2008","1/8/2010","1/11/2010","15173","12204","BAILLARGUET","C002","214706","9/23/2008","4,986.70","","","215410","Oui","Oui","Non","9000012092","B FAVREAU","A000810473",""
"200012148299","SPECTROPHOTOMETRE BIOSPEC-NANO","","10/1/2009","5/18/2010","10/21/2011","15317","12204","LAVALETTE","16119","210029","10/1/2009","7,200.00","SHIMADZU","","215410","Oui","Oui","Non","9000013417","N DURAND","",""
